Rank,Crime Index ▲,City / Population
1,235,"Calipatria, CA / 7,599"
2,299,"Laguna Woods, CA / 16,302"
3,319,"Rolling Hills, CA / 1,689"
4,325,"Hillsborough, CA / 11,148"
5,335,"Hidden Hills, CA / 1,749"
6,338,"Rancho Santa Margarita, CA / 48,758"
7,362,"Los Altos Hills, CA / 8,244"
8,380,"Palos Verdes Estates, CA / 13,568"
9,422,"Bradbury, CA / 845"
10,426,"Imperial, CA / 15,782"
11,428,"Belvedere, CA / 2,036"
12,435,"Aliso Viejo, CA / 49,437"
13,442,"Laguna Niguel, CA / 64,299"
14,448,"Monte Sereno, CA / 3,462"
15,454,"Saratoga, CA / 30,627"
16,454,"Tiburon, CA / 9,100"
17,461,"Los Altos, CA / 29,762"
18,471,"Etna, CA / 750"
19,484,"Moraga, CA / 16,549"
20,485,"Ross, CA / 2,227"
21,490,"Danville, CA / 42,891"
22,499,"Bear Valley, CA / 43"
23,503,"Mission Viejo, CA / 95,246"
24,532,"Orinda, CA / 18,390"
25,532,"Rancho Palos Verdes, CA / 42,282"
26,536,"Yorba Linda, CA / 66,335"
27,544,"Foster City, CA / 31,809"
28,548,"Westmorland, CA / 1,747"
29,553,"Stallion Springs, CA / 2,983"
30,555,"Ferndale, CA / 1,456"
31,557,"Moorpark, CA / 35,033"
32,560,"Clayton, CA / 11,328"
33,579,"Calabasas, CA / 23,956"
34,582,"Irvine, CA / 229,850"
35,593,"Lake Forest, CA / 78,940"
36,596,"Lincoln, CA / 44,397"
37,597,"La Habra Heights, CA / 5,398"
38,607,"San Clemente, CA / 64,673"
39,612,"Tulelake, CA / 1,029"
40,615,"Sierra Madre, CA / 11,060"
41,625,"Villa Park, CA / 5,911"
42,639,"Chino Hills, CA / 76,187"
43,641,"Thousand Oaks, CA / 128,126"
44,642,"San Ramon, CA / 73,826"
45,645,"Agoura Hills, CA / 20,630"
46,649,"Mill Valley, CA / 14,178"
47,672,"Saint Helena, CA / 5,895"
48,680,"Guadalupe, CA / 7,160"
49,680,"Canyon Lake, CA / 10,810"
50,681,"Cupertino, CA / 59,787"
51,684,"San Juan Capistrano, CA / 35,562"
52,686,"San Marino, CA / 13,294"
53,698,"La Canada Flintridge, CA / 20,477"
54,702,"Belmont, CA / 26,503"
55,706,"Camarillo, CA / 65,985"
56,707,"Temple City, CA / 36,006"
57,718,"Goleta, CA / 30,333"
58,729,"Simi Valley, CA / 125,699"
59,731,"Yountville, CA / 2,977"
60,733,"Walnut, CA / 29,822"
61,734,"Dana Point, CA / 33,861"
62,736,"Ione, CA / 7,318"
63,740,"Poway, CA / 49,040"
64,749,"Pleasanton, CA / 73,164"
65,752,"Eastvale, CA / 55,298"
66,755,"Murrieta, CA / 106,326"
67,765,"Corcoran, CA / 23,634"
68,766,"Lafayette, CA / 24,685"
69,770,"Wheatland, CA / 3,494"
70,776,"Truckee, CA / 16,191"
71,778,"Solvang, CA / 5,345"
72,778,"Diamond Bar, CA / 56,259"
73,782,"San Carlos, CA / 29,166"
74,784,"Laguna Hills, CA / 30,768"
75,785,"Dublin, CA / 49,694"
76,799,"Westlake Village, CA / 8,393"
77,800,"Windsor, CA / 27,113"
78,804,"La Palma, CA / 15,791"
79,805,"Glendale, CA / 195,380"
80,806,"Pacifica, CA / 38,283"
81,810,"Rolling Hills Estates, CA / 8,184"
82,819,"Kensington, CA / 5,351"
83,824,"Cypress, CA / 48,748"
84,826,"Sunnyvale, CA / 145,921"
85,827,"Fairfax, CA / 7,546"
86,828,"Avenal, CA / 14,553"
87,832,"Placentia, CA / 51,860"
88,845,"Carpinteria, CA / 13,323"
89,857,"Rocklin, CA / 59,002"
90,862,"Los Gatos, CA / 30,163"
91,863,"Soledad, CA / 26,008"
92,865,"Hercules, CA / 24,596"
93,866,"Santa Clarita, CA / 179,030"
94,869,"Half Moon Bay, CA / 11,803"
95,870,"Orange, CA / 138,980"
96,873,"Coronado, CA / 24,333"
97,884,"Holtville, CA / 6,067"
98,886,"Morro Bay, CA / 10,383"
99,890,"Fillmore, CA / 15,203"
100,894,"Folsom, CA / 73,334"
101,900,"La Mirada, CA / 49,038"
102,903,"Seal Beach, CA / 24,477"
103,910,"San Anselmo, CA / 12,527"
104,914,"Benicia, CA / 27,450"
105,917,"Calistoga, CA / 5,244"
106,920,"Ripon, CA / 14,645"
107,931,"Millbrae, CA / 22,177"
108,949,"Yucaipa, CA / 52,406"
109,950,"Hughson, CA / 6,895"
110,951,"Fort Jones, CA / 848"
111,953,"Cloverdale, CA / 8,692"
112,964,"Buellton, CA / 4,924"
113,964,"Atherton, CA / 7,034"
114,967,"Menifee, CA / 81,658"
115,969,"Encinitas, CA / 61,008"
116,971,"Tustin, CA / 77,765"
117,973,"Torrance, CA / 147,181"
118,974,"Novato, CA / 53,451"
119,974,"Palo Alto, CA / 65,998"
120,980,"Morgan Hill, CA / 39,875"
121,980,"Williams, CA / 5,166"
122,981,"Winters, CA / 6,843"
123,983,"South Pasadena, CA / 25,914"
124,988,"Monterey Park, CA / 60,966"
125,992,"Fountain Valley, CA / 56,440"
126,993,"Ojai, CA / 7,558"
127,"1,006","Sebastopol, CA / 7,535"
128,"1,009","La Verne, CA / 31,592"
129,"1,009","Daly City, CA / 103,897"
130,"1,013","San Dimas, CA / 33,896"
131,"1,019","Scotts Valley, CA / 11,711"
132,"1,022","Manhattan Beach, CA / 35,534"
133,"1,023","Menlo Park, CA / 32,792"
134,"1,026","Arroyo Grande, CA / 17,536"
135,"1,027","Pacific Grove, CA / 15,365"
136,"1,029","Montague, CA / 1,504"
137,"1,037","Glendora, CA / 50,855"
138,"1,038","Huntington Beach, CA / 195,686"
139,"1,048","Piedmont, CA / 10,957"
140,"1,050","Oakley, CA / 37,391"
141,"1,051","Petaluma, CA / 58,912"
142,"1,056","Del Rey Oaks, CA / 1,727"
143,"1,057","Solana Beach, CA / 13,146"
144,"1,062","Brentwood, CA / 54,062"
145,"1,067","Santee, CA / 55,435"
146,"1,067","Healdsburg, CA / 11,466"
147,"1,073","Malibu, CA / 12,830"
148,"1,076","Carlsbad, CA / 109,296"
149,"1,076","Newport Beach, CA / 86,594"
150,"1,082","San Marcos, CA / 87,808"
151,"1,094","Rancho Cucamonga, CA / 170,170"
152,"1,095","Rio Vista, CA / 7,646"
153,"1,096","Grand Terrace, CA / 12,252"
154,"1,097","Fremont, CA / 221,654"
155,"1,100","San Gabriel, CA / 40,173"
156,"1,106","Twentynine Palms, CA / 25,601"
157,"1,108","Wildomar, CA / 33,601"
158,"1,110","Livermore, CA / 83,901"
159,"1,115","Laguna Beach, CA / 23,114"
160,"1,117","Corona, CA / 157,395"
161,"1,118","Mountain View, CA / 76,741"
162,"1,125","Redondo Beach, CA / 67,511"
163,"1,129","Broadmoor, CA / 4,734"
164,"1,131","San Bruno, CA / 42,090"
165,"1,138","Mount Shasta, CA / 3,331"
166,"1,147","La Habra, CA / 61,341"
167,"1,149","Temecula, CA / 104,955"
168,"1,156","Burbank, CA / 104,484"
169,"1,160","Claremont, CA / 35,569"
170,"1,162","Vacaville, CA / 93,994"
171,"1,166","San Mateo, CA / 100,114"
172,"1,179","Newman, CA / 10,553"
173,"1,186","Calimesa, CA / 8,143"
174,"1,193","Burlingame, CA / 29,618"
175,"1,195","Arcadia, CA / 57,251"
176,"1,198","Alhambra, CA / 84,400"
177,"1,200","Santa Clara, CA / 119,525"
178,"1,202","Chowchilla, CA / 18,411"
179,"1,203","Duarte, CA / 21,676"
180,"1,205","Sausalito, CA / 7,043"
181,"1,208","Atascadero, CA / 28,792"
182,"1,210","Los Alamitos, CA / 11,598"
183,"1,216","South San Francisco, CA / 65,537"
184,"1,219","Monrovia, CA / 37,035"
185,"1,220","Angels, CA / 3,782"
186,"1,221","Elk Grove, CA / 158,455"
187,"1,223","Tracy, CA / 84,573"
188,"1,225","Port Hueneme, CA / 21,949"
